cemented,uncemented,hybrid,reverse_hybrid
1591.382817,2883.877172,2243.895026,2165.510557
1543.898629,2917.953211,2225.117316,2126.513999
1607.964481,2916.671149,2231.258907,2195.793817
1533.515362,2912.155829,2248.418434,2138.231274
1551.296031,2909.347065,2175.809399,2123.078941
1556.993005,2916.144986,2193.729319,2157.481285
1540.475807,2912.673775,2226.369725,2150.598475
1531.436066,2902.6608,2255.245519,2142.560466
1587.543627,2890.067866,2221.781129,2177.764603
1555.889224,2879.179655,2217.067619,2136.988115
1507.991874,2891.822005,2282.257357,2126.405104
1522.3445,2898.432289,2204.735898,2121.866044
1604.985865,2930.755284,2214.867412,2154.042313
1630.600222,2913.102872,2231.724401,2176.924922
1602.2437,2910.424138,2248.816634,2148.750686
1565.21421,2886.874889,2212.684662,2118.050519
1525.194118,2894.099576,2238.634355,2141.776363
1588.926086,2925.927299,2208.105862,2159.168299
1582.983282,2927.387737,2238.96872,2140.798496
1609.065172,2921.145832,2235.796697,2114.026502
1582.165408,2892.424068,2240.417824,2117.386913
1520.210732,2875.652934,2238.264259,2122.308363
1560.279682,2916.430204,2243.406822,2112.214613
1604.967728,2914.212633,2227.858597,2156.573361
1545.708705,2931.10957,2265.818384,2182.319634
1548.099147,2912.592016,2224.986749,2166.133762
1557.382937,2873.93379,2246.748236,2143.984426
1527.456126,2901.124161,2226.717101,2139.296622
1586.574626,2887.805859,2230.960404,2119.024998
1544.270814,2903.990616,2251.097672,2101.786304
1545.504229,2932.564101,2196.560315,2107.644857
1558.673634,2902.597429,2239.279747,2119.322351
1546.338333,2915.526504,2247.158197,2192.328721
1592.600272,2906.088556,2239.047587,2161.646396
1541.26699,2886.743482,2213.852986,2084.255166
1532.138783,2907.619948,2254.405412,2151.429157
1530.63748,2901.327612,2219.778152,2150.505474
1576.003419,2960.124448,2239.001364,2154.699273
1569.959758,2920.79188,2248.348494,2153.228127
1571.306918,2935.446537,2283.904534,2133.24265
1551.0214,2920.590012,2235.702031,2170.387468
1555.120438,2935.309259,2220.700183,2145.871924
1539.56558,2892.772057,2232.183213,2132.554918
1555.598692,2906.570741,2253.615881,2125.418888
1604.010355,2898.311548,2255.093743,2146.539131
1622.755916,2915.258181,2250.277423,2155.364825
1527.847116,2890.80411,2229.571063,2107.947246
1584.913166,2902.655671,2216.655012,2140.793906
1521.995056,2890.628214,2230.922799,2135.109466
1569.745416,2934.526572,2220.70115,2128.331128
1528.845629,2903.23303,2242.217135,2112.718148
1607.867354,2933.616968,2265.108322,2141.69919
1518.177421,2904.647565,2242.628854,2143.147541
1551.681291,2891.982739,2257.502816,2117.381371
1576.587917,2906.441296,2266.636042,2183.432378
1597.157995,2927.059365,2254.318669,2174.578615
1571.872662,2900.893557,2241.013302,2158.780069
1579.183095,2922.521113,2252.475879,2212.010323
1570.894423,2912.132429,2238.807487,2137.330778
1532.175512,2868.989538,2231.181321,2141.20486
1526.631999,2921.738727,2237.760445,2211.174031
1517.473672,2867.636713,2192.674312,2129.251786
1583.258007,2945.39845,2224.996832,2146.503847
1598.103006,2914.581229,2227.983571,2161.86556
1579.677227,2897.048571,2250.421548,2151.19601
1560.922123,2900.793784,2236.747072,2119.911191
1618.754492,2939.319004,2273.947312,2196.547189
1558.422265,2914.305922,2225.554728,2143.087898
1571.929456,2896.440589,2227.298015,2141.756509
1543.216057,2900.347149,2243.806358,2158.523097
1605.94048,2902.480813,2214.45323,2121.272942
1614.662809,2937.523989,2249.368958,2119.295814
1546.749338,2944.109079,2238.152001,2147.055478
1556.754022,2910.810265,2214.181032,2114.663967
1573.052242,2941.987892,2281.692258,2162.253574
1541.172537,2931.559509,2268.669984,2167.952565
1638.411339,2919.441721,2225.080046,2150.354781
1582.883864,2896.525077,2226.014204,2151.68078
1562.450654,2923.467041,2194.450316,2149.544954
1560.651102,2910.648918,2216.973006,2128.402009
1580.561442,2895.892559,2235.479252,2159.686613
1572.424213,2919.088727,2206.079846,2151.521575
1561.493592,2922.03571,2267.266265,2115.36051
1517.867953,2892.325415,2231.588662,2139.540244
1568.511051,2917.369726,2255.192321,2160.464142
1529.338242,2909.5928,2227.256275,2109.751145
1564.462928,2903.609012,2254.716453,2145.076673
1601.469848,2907.316099,2232.60656,2129.650798
1570.677344,2933.263693,2248.284804,2151.454062
1522.607273,2921.542588,2248.211514,2122.119525
1590.018715,2913.892598,2248.432387,2186.419956
1604.620863,2935.232184,2223.343217,2146.49773
1600.093652,2926.389475,2256.701461,2173.965212
1560.688757,2896.527744,2236.636968,2118.699752
1591.568744,2898.669865,2235.9458,2089.779783
1587.667551,2926.410802,2250.988992,2165.841638
1553.395037,2903.966494,2202.016498,2151.872051
1534.694508,2919.930527,2227.429158,2155.895623
1609.507266,2910.550193,2223.500818,2113.97776
1553.316546,2918.426815,2285.285553,2123.905472
1552.041458,2915.063997,2287.523703,2181.436539
1557.404947,2894.280144,2216.692646,2160.266493
1588.91814,2920.060352,2250.948694,2138.699399
1553.013176,2911.563011,2256.067523,2123.61497
1561.507283,2892.516746,2281.722647,2156.482376
1596.583585,2908.64059,2305.37854,2169.879047
1539.947975,2904.556,2226.891953,2118.077371
1526.397206,2962.816023,2229.80947,2139.251619
1582.193344,2928.095103,2257.80221,2143.446363
1588.093037,2921.074053,2237.988773,2141.774528
1580.870303,2921.410612,2274.233283,2138.593844
1552.231148,2923.359019,2222.99714,2115.894966
1567.25196,2899.510399,2242.643553,2108.528752
1540.520572,2882.088539,2227.412936,2122.596428
1559.790575,2911.44457,2224.025509,2129.097476
1567.818568,2915.115243,2238.371073,2147.93359
1640.567483,2926.243321,2237.752526,2159.535487
1521.814371,2900.099476,2234.548891,2110.294886
1517.962484,2904.887479,2217.051441,2132.34758
1572.647429,2927.285853,2237.592318,2164.072494
1533.928139,2906.003917,2232.688812,2167.15426
1551.941049,2915.025907,2210.171327,2100.932509
1541.265937,2884.720277,2245.903991,2152.713087
1563.963003,2883.320419,2211.520858,2142.049202
1555.947422,2919.557355,2200.083246,2153.696565
1580.395227,2920.82742,2213.496378,2167.340397
1612.548298,2920.747164,2254.326707,2153.208332
1531.252597,2886.935481,2237.005476,2134.544955
1607.626491,2885.245452,2218.342254,2157.781054
1539.995313,2923.070637,2274.780277,2111.697386
1540.315951,2923.24522,2198.31252,2093.848506
1566.984584,2912.235246,2218.093087,2162.489952
1608.188101,2903.57594,2278.824249,2167.284448
1536.187491,2930.934081,2228.315691,2185.897337
1497.674413,2926.159864,2252.921348,2153.836986
1545.44304,2902.497533,2227.439571,2115.900979
1548.858698,2929.188324,2210.031649,2123.961826
1533.28624,2902.843511,2225.043848,2120.979965
1563.673084,2933.950741,2210.092058,2148.281888
1563.744853,2890.93671,2230.719706,2125.889215
1590.30127,2937.118165,2234.98201,2137.908043
1503.217534,2921.353912,2210.045115,2149.873672
1624.767105,2915.679423,2226.058632,2111.396682
1626.145234,2887.179083,2239.935499,2121.171641
1549.256376,2902.597588,2241.420324,2148.473779
1578.605807,2911.03281,2187.9,2141.917702
1535.130813,2923.512037,2234.101881,2157.829596
1529.724977,2930.887018,2216.031209,2136.33348
1581.162813,2908.840311,2244.919999,2097.109098
1583.395342,2919.568106,2238.116362,2170.475601
1545.244029,2892.448639,2239.508669,2122.323718
1610.576093,2895.300474,2210.454143,2190.80925
1559.436146,2899.769156,2256.6322,2126.526435
1562.19173,2909.261041,2280.352488,2150.584686
1553.963994,2911.317409,2269.668694,2133.484998
1546.421288,2894.15964,2244.01931,2108.752656
1551.122182,2922.611185,2247.237946,2165.004773
1545.847168,2923.091525,2219.588683,2140.79601
1583.705814,2887.014225,2222.577155,2105.199364
1569.040587,2926.527959,2250.508455,2175.537032
1544.40839,2921.344314,2227.631628,2150.231596
1537.572982,2910.207724,2236.951623,2123.462575
1547.302603,2918.534638,2284.128767,2137.371987
1607.059932,2903.486925,2277.143505,2155.393001
1601.486503,2916.773896,2245.134177,2128.107345
1528.975457,2902.559356,2206.502496,2110.015186
1596.055754,2922.820422,2224.046649,2198.735351
1580.564375,2931.589666,2259.240745,2143.493495
1542.15768,2927.308968,2223.42856,2137.356213
1546.857621,2904.392756,2252.578033,2169.629306
1581.48066,2929.952253,2239.958739,2148.514326
1565.715585,2952.456752,2239.827254,2155.431785
1565.051756,2922.776429,2221.647158,2132.962319
1517.507005,2911.551454,2215.311958,2176.22206
1566.896267,2941.780318,2255.17959,2168.253632
1625.916661,2917.667716,2274.70617,2166.930413
1593.136671,2895.478466,2183.806254,2141.663968
1549.668261,2895.147655,2250.085204,2127.572187
1566.855794,2927.332568,2260.992668,2140.691699
1571.657447,2899.627033,2265.811042,2170.40026
1591.595927,2900.327535,2228.080859,2160.644162
1565.231383,2924.27094,2261.954641,2160.210169
1585.321446,2925.806893,2242.22892,2112.286519
